iter	RMSE
0	10.64525837
1	10.51988034
2	10.41844085
3	10.32063691
4	10.24287898
5	10.17558323
6	10.11330661
7	10.05076724
8	10.00336977
9	9.962833042
10	9.922215681
11	9.875153512
12	9.844661416
13	9.810909546
14	9.788516201
15	9.769797111
16	9.741553578
17	9.718844694
18	9.70530895
19	9.690956621
20	9.669881101
21	9.650186064
22	9.637742875
23	9.621049457
24	9.601122388
25	9.579696771
26	9.5703424
27	9.555431753
28	9.535299869
29	9.51571055
30	9.508382411
31	9.497393133
32	9.48730179
33	9.476126785
34	9.462733311
35	9.45369027
36	9.440802399
37	9.426421955
38	9.418469684
39	9.40227374
40	9.392675963
41	9.383184572
42	9.371620949
43	9.363874605
44	9.355056774
45	9.342019634
46	9.333672722
47	9.31946653
48	9.308174819
49	9.301209636
50	9.293912308
51	9.285103943
52	9.267065382
53	9.256297379
54	9.240712732
55	9.229032435
56	9.21438382
57	9.205253338
58	9.188244506
59	9.179885662
60	9.170014635
61	9.156659239
62	9.142956477
63	9.137163154
64	9.125798689
65	9.114677806
66	9.1037039
67	9.091242423
68	9.081032629
69	9.064303526
70	9.053010657
71	9.041772467
72	9.026576828
73	9.010548128
74	9.002071785
75	8.99365024
76	8.982630206
77	8.973427465
78	8.963826
79	8.953199873
80	8.946310946
81	8.935324544
82	8.924106478
83	8.913186024
84	8.899139539
85	8.884805232
86	8.862699282
87	8.851858696
88	8.846095994
89	8.836613452
90	8.820100731
91	8.812229577
92	8.808959791
93	8.795960512
94	8.777239088
95	8.765819404
96	8.754488465
97	8.749356449
98	8.7382142
99	8.733269489
100	8.716190152
101	8.708127413
102	8.705457485
103	8.688684054
104	8.680427102
105	8.664261341
106	8.656800623
107	8.648691205
108	8.640244858
109	8.631968683
110	8.628002629
111	8.61305936
112	8.604177857
113	8.592478809
114	8.581693687
115	8.570348711
116	8.560463457
117	8.549576816
118	8.547129504
119	8.539556101
120	8.524349047
121	8.514066019
122	8.50427537
123	8.492975337
124	8.484994568
125	8.478995368
126	8.46736593
