iter	Passed	Remaining
0	47	47897
1	49	24733
2	51	17022
3	52	13105
4	53	10730
5	55	9191
6	56	8028
7	57	7153
8	58	6457
9	59	5902
10	60	5447
11	61	5043
12	61	4696
13	62	4399
14	63	4139
15	63	3911
16	64	3706
17	64	3521
18	64	3353
19	65	3202
20	65	3067
21	66	2952
22	66	2842
23	67	2737
24	67	2641
25	68	2555
26	68	2473
27	69	2397
28	69	2324
29	69	2259
30	70	2196
31	70	2140
32	71	2106
33	72	2055
34	72	2009
35	73	1964
36	73	1919
37	74	1878
38	74	1841
39	75	1808
40	75	1771
41	76	1737
42	76	1707
43	77	1678
44	77	1649
45	78	1621
46	78	1594
47	79	1567
48	79	1541
49	79	1518
50	80	1494
51	80	1474
52	81	1453
53	81	1432
54	82	1415
55	82	1396
56	83	1377
57	83	1359
58	84	1341
59	84	1325
60	85	1308
61	85	1292
62	85	1276
63	86	1262
64	86	1247
65	87	1233
66	87	1220
67	88	1207
68	88	1194
69	88	1182
70	89	1169
71	89	1158
72	90	1146
73	90	1135
74	91	1125
75	91	1114
76	92	1105
77	92	1098
78	93	1088
79	93	1078
80	94	1068
81	94	1059
82	95	1051
83	95	1042
84	96	1034
85	96	1026
86	97	1018
87	97	1010
88	97	1001
89	98	995
90	98	987
91	99	980
92	99	973
93	100	965
94	100	958
95	101	951
96	101	944
97	101	938
98	102	931
99	102	925
100	103	920
101	103	913
102	104	907
103	104	902
104	105	896
105	105	891
106	106	886
107	106	881
108	107	876
109	107	871
110	108	865
111	108	860
112	108	854
113	109	849
114	109	845
115	110	840
116	110	835
117	111	831
118	111	827
119	112	822
120	112	817
121	113	813
122	113	809
123	113	804
124	114	800
125	114	797
126	115	792
127	115	788
128	116	785
129	116	781
130	117	777
131	117	773
132	117	769
133	118	765
134	118	761
135	119	757
136	119	753
137	120	749
138	120	746
139	120	742
140	121	739
141	121	736
142	122	732
143	122	730
144	123	727
145	123	723
146	124	720
147	124	717
148	125	714
149	125	711
150	125	708
151	126	705
152	127	703
153	127	700
154	127	697
155	128	694
156	128	691
157	129	688
158	129	686
159	130	683
160	130	680
161	130	677
162	131	674
163	131	671
164	132	668
165	132	666
166	133	663
167	133	660
168	133	658
169	134	656
170	134	653
171	135	651
172	135	649
173	136	646
174	136	644
175	137	642
176	137	640
177	138	637
178	138	635
179	138	633
180	139	630
181	139	628
182	140	626
183	140	623
184	141	621
185	141	618
186	141	616
187	142	614
188	142	612
189	143	610
190	143	608
191	144	606
192	144	604
193	145	602
194	145	600
195	145	598
196	146	596
197	146	594
198	147	592
199	147	590
200	148	588
201	148	586
202	148	584
203	149	582
204	149	581
205	150	579
206	150	577
207	151	575
208	151	573
209	151	571
210	152	569
211	152	568
212	153	566
213	153	564
214	154	563
215	154	561
216	155	559
217	155	558
218	156	556
219	156	554
220	156	553
221	157	551
222	157	549
223	158	548
224	158	546
225	159	545
226	159	543
227	160	541
228	160	540
229	160	538
230	161	537
231	161	535
232	162	533
233	162	532
234	163	530
235	163	529
236	163	527
237	164	526
238	164	524
239	165	523
240	165	522
241	166	521
242	166	519
243	167	518
244	167	516
245	168	515
246	168	513
247	168	512
248	169	511
249	169	509
250	170	508
251	170	506
252	171	505
253	171	503
254	171	502
255	172	501
256	172	500
257	173	499
258	173	497
259	174	496
260	174	495
261	175	493
262	175	492
263	176	491
264	176	489
265	177	488
266	177	487
267	178	486
268	178	485
269	179	483
270	179	482
271	179	481
272	180	480
273	180	478
274	181	477
275	181	476
276	182	475
277	182	473
278	182	472
279	183	471
280	183	470
281	184	468
282	184	467
283	185	466
284	185	465
285	185	464
286	186	463
287	186	461
288	187	460
289	187	459
290	188	458
291	188	457
292	189	456
293	189	455
294	190	454
295	190	453
296	191	452
297	191	450
298	191	449
299	192	448
300	192	447
301	193	446
302	193	445
303	194	444
304	194	443
305	195	442
306	195	441
307	195	440
308	196	439
309	196	437
310	197	437
311	197	436
312	198	435
313	198	434
314	199	433
315	199	432
316	200	431
317	200	430
318	201	429
319	201	428
320	202	427
321	202	426
322	203	425
323	203	424
324	204	423
325	204	423
326	205	422
327	205	420
328	206	420
329	206	419
330	206	418
331	207	417
332	207	416
333	208	415
334	208	414
335	209	413
336	209	412
337	209	411
338	210	410
339	210	409
340	211	408
341	211	407
342	212	406
343	212	405
344	212	404
345	213	403
346	213	402
347	214	401
348	214	400
349	214	399
350	215	398
351	215	397
352	216	396
353	216	395
354	217	394
355	217	393
356	218	392
357	218	391
358	219	391
359	219	390
360	219	389
361	220	388
362	220	387
363	221	386
364	221	385
