iter	RMSE
0	10.18623621
1	10.09905283
2	10.016567
3	9.937236479
4	9.878044077
5	9.818587245
6	9.768529769
7	9.723205305
8	9.685866209
9	9.649537051
10	9.617167015
11	9.585968091
12	9.558766681
13	9.532658445
14	9.51060667
15	9.488175669
16	9.465303667
17	9.446134154
18	9.424822665
19	9.410190812
20	9.390807522
21	9.373674052
22	9.362927638
23	9.349735465
24	9.332284379
25	9.310580768
26	9.290211101
27	9.274496921
28	9.262350984
29	9.251165813
30	9.243772885
31	9.229140251
32	9.2159888
33	9.203967964
34	9.188611262
35	9.174994151
36	9.161195289
37	9.150640667
38	9.142719101
39	9.123104968
40	9.109394504
41	9.097891645
42	9.084064156
43	9.075950225
44	9.068616751
45	9.05647222
46	9.052486695
47	9.041803398
48	9.031790595
49	9.025045502
50	9.010051447
51	8.992754925
52	8.982236196
53	8.970676028
54	8.964310673
55	8.954875221
56	8.941423983
57	8.932433413
58	8.925743329
59	8.91799195
60	8.909821544
61	8.899162882
62	8.88930037
63	8.883991693
64	8.865131899
65	8.855312281
66	8.835741349
67	8.826238137
68	8.821905979
69	8.800453941
70	8.786481713
71	8.777207794
72	8.768236711
73	8.761753654
74	8.755323895
75	8.745743507
76	8.731612691
77	8.718833863
78	8.713908832
79	8.701991995
80	8.68073009
81	8.672494539
82	8.662134981
83	8.655676185
84	8.647571087
85	8.639349073
86	8.630149931
87	8.614299675
88	8.603797464
89	8.597156184
90	8.587782332
91	8.580054277
92	8.573356846
93	8.562919677
94	8.550234945
95	8.539571454
96	8.527052815
97	8.502866526
98	8.493174629
99	8.481167595
100	8.474258369
101	8.463854134
102	8.455475983
103	8.449485495
104	8.43648308
105	8.427754435
106	8.418065801
107	8.391981904
108	8.381610326
109	8.372103726
110	8.360421023
111	8.357286541
112	8.349727533
113	8.334188203
114	8.326066108
115	8.31574614
116	8.308349533
117	8.298862722
118	8.291316935
119	8.283477998
120	8.275406127
121	8.263721075
122	8.253319271
123	8.247673959
124	8.231162316
125	8.217984976
126	8.209370445
127	8.201726267
128	8.194475004
129	8.169248944
130	8.15196383
131	8.144047218
132	8.14095277
133	8.124285311
134	8.112059307
135	8.091651589
136	8.081704629
137	8.076510252
138	8.065440714
139	8.062085207
140	8.058886298
141	8.042742389
142	8.028663151
143	8.022512194
144	8.014794987
145	8.011050176
146	8.004353293
147	7.985980948
148	7.977243742
149	7.965012011
150	7.948526592
151	7.943897004
152	7.937748956
153	7.926019039
154	7.912686081
155	7.903099413
156	7.896718775
157	7.889020666
158	7.879129059
159	7.8720198
160	7.867369984
161	7.851597716
162	7.844753061
163	7.828393699
164	7.819272901
165	7.805210848
166	7.797890716
167	7.792544736
168	7.782774849
169	7.775444246
170	7.771507168
171	7.755068927
172	7.741906197
173	7.727707731
174	7.714955909
175	7.703159692
176	7.694683961
177	7.685321514
178	7.679033568
179	7.672056087
180	7.66016453
181	7.649565725
182	7.641171798
183	7.633545744
184	7.628648868
185	7.619179083
186	7.610856199
187	7.602215766
188	7.593785145
189	7.577643361
190	7.568829044
191	7.559047383
192	7.547473521
193	7.532994825
194	7.523334948
195	7.509464258
196	7.506414779
197	7.498472423
198	7.482586352
199	7.475741043
200	7.459133569
201	7.455346141
202	7.445144024
203	7.433026023
204	7.418989432
205	7.406500973
206	7.399752777
207	7.391283937
208	7.380311038
209	7.376442054
210	7.363505093
211	7.357309858
212	7.348417047
213	7.34160233
214	7.33666931
215	7.318004204
216	7.309238874
217	7.302863359
218	7.292879974
219	7.288709518
220	7.280936677
221	7.271402327
222	7.261994122
223	7.254368643
224	7.245757937
225	7.230743688
226	7.226773839
227	7.224433621
228	7.212006917
229	7.1995539
230	7.193299133
231	7.189712826
232	7.182940444
233	7.173950628
234	7.168138721
235	7.161795461
236	7.149405936
237	7.138048725
238	7.122114195
239	7.111189647
240	7.105272272
241	7.103159653
242	7.096292483
243	7.080480881
244	7.075163689
245	7.066498305
246	7.056762123
247	7.04629417
248	7.040593896
249	7.035534728
250	7.020585034
251	7.018893343
252	7.00852729
253	6.996334512
254	6.992431224
255	6.984995793
256	6.978653574
257	6.974267582
258	6.969563037
259	6.962919333
260	6.954220574
261	6.946468386
262	6.94271416
263	6.938987071
264	6.926211381
265	6.919437452
266	6.911947072
267	6.902844961
268	6.901012341
269	6.89048962
270	6.885114307
271	6.869818448
272	6.863597606
273	6.849489131
274	6.845665127
275	6.839005438
276	6.825925508
277	6.820551878
278	6.809814068
279	6.805280718
280	6.799072514
281	6.783644334
282	6.773725901
283	6.766542572
284	6.752893506
285	6.745007756
286	6.742024502
287	6.737223145
288	6.732526346
289	6.724900574
290	6.717012759
291	6.710603018
292	6.689335402
293	6.682630683
294	6.678692778
295	6.672911759
296	6.6673643
297	6.662512165
298	6.657003625
299	6.651395775
300	6.647811227
301	6.6401564
302	6.634410851
303	6.630824045
304	6.62499798
305	6.614459437
306	6.60551687
307	6.598953333
308	6.592121521
309	6.58919356
310	6.58033253
311	6.569334206
312	6.557452347
313	6.547210367
314	6.541753242
315	6.537449444
316	6.530341667
317	6.520548577
318	6.517673785
319	6.512422884
320	6.506881144
321	6.500025599
322	6.490282774
323	6.483562164
324	6.477766149
325	6.465711726
326	6.459287282
327	6.456150607
328	6.45318331
329	6.450084342
330	6.441163133
331	6.434640718
332	6.430134426
333	6.426869799
334	6.420672021
335	6.407822578
336	6.402007407
337	6.39424145
338	6.385870121
339	6.379843658
340	6.3747814
341	6.369220806
342	6.364795515
343	6.358288612
344	6.351623834
345	6.346286577
346	6.34111381
347	6.334374787
348	6.328837674
349	6.326369706
350	6.317843315
351	6.312652955
352	6.30710823
353	6.293578509
354	6.286343432
355	6.281782832
356	6.269769415
357	6.267015493
358	6.262353347
359	6.24458407
360	6.239521867
361	6.229839137
362	6.224240745
363	6.217714979
364	6.213399852
365	6.204928797
366	6.196852055
367	6.18970998
368	6.182464775
369	6.1780315
370	6.174291707
371	6.166366245
372	6.16073526
373	6.156942062
374	6.152246011
375	6.147650675
376	6.142910076
377	6.136276696
378	6.128634153
379	6.123345314
380	6.116664814
381	6.109907863
382	6.109214031
383	6.105081305
384	6.101100921
385	6.096234436
386	6.093351372
387	6.088315015
388	6.083754239
389	6.068859233
390	6.061451419
391	6.045322426
392	6.040179324
393	6.034291422
394	6.029613238
395	6.024798348
396	6.017775195
397	6.013855791
398	6.005349529
399	6.0049702
400	6.001682883
401	5.995766313
402	5.988845643
403	5.98651432
404	5.978237447
405	5.972208373
406	5.966634442
407	5.962640376
408	5.957544363
409	5.95236377
410	5.944629538
411	5.937082291
412	5.929360569
413	5.926579502
414	5.921461022
415	5.909637192
416	5.904451707
417	5.896976552
418	5.891366371
419	5.88863044
420	5.884748612
421	5.875506709
422	5.868811784
423	5.864502597
424	5.859277134
425	5.855414107
426	5.848116298
427	5.843975955
428	5.839067239
429	5.828244536
430	5.823168845
431	5.814706503
432	5.811543241
433	5.808105134
434	5.797644496
435	5.792658826
436	5.783032372
437	5.778266455
438	5.776015604
439	5.763704245
440	5.758055627
441	5.749238464
442	5.745898221
443	5.737243382
444	5.729828927
445	5.717390594
446	5.711819079
447	5.703958019
448	5.697547305
449	5.687822057
450	5.68283465
451	5.678953987
452	5.676838545
453	5.674379035
454	5.667808657
455	5.660768671
456	5.655649922
457	5.648483486
458	5.644287641
459	5.636499766
460	5.63221768
461	5.629351054
462	5.619108355
463	5.613194758
464	5.607108811
465	5.600925
466	5.595040555
467	5.59064253
468	5.588197788
469	5.586019199
470	5.583978606
471	5.57441718
472	5.563662098
473	5.557446309
474	5.554838946
475	5.546665081
476	5.54335993
477	5.541151336
478	5.532650613
479	5.526140344
480	5.520613354
481	5.515916303
482	5.508202558
483	5.498955334
484	5.495942332
485	5.485901912
486	5.480738061
487	5.479401559
488	5.475839674
489	5.468191621
490	5.463226941
491	5.457245431
492	5.451455775
493	5.450350942
494	5.449111199
495	5.443968678
496	5.437180814
497	5.432875374
498	5.430061633
499	5.420688305
500	5.418831104
501	5.415163802
502	5.40957953
503	5.406173053
504	5.403138038
505	5.400624692
506	5.390507908
507	5.384968291
508	5.379934366
509	5.373719137
510	5.365736912
511	5.356185281
512	5.349852238
513	5.344994241
514	5.341559493
515	5.334923191
516	5.326180319
517	5.320007623
518	5.317924755
519	5.311884557
520	5.309306627
521	5.303541179
522	5.293968719
523	5.28702754
524	5.280220401
525	5.275419175
526	5.272191516
527	5.267096769
528	5.258952161
529	5.253954024
530	5.248244185
531	5.244599653
532	5.23960476
533	5.233698101
534	5.230694298
535	5.229192686
536	5.222778625
537	5.218639111
538	5.211485231
539	5.20886577
540	5.202998383
541	5.19978093
542	5.195252328
543	5.188080347
544	5.183095375
545	5.180490478
546	5.171856493
547	5.171193992
548	5.167116701
549	5.161408455
550	5.155716298
551	5.15112312
552	5.144526116
553	5.142974562
554	5.138430555
555	5.133185834
556	5.127149317
557	5.121931399
558	5.11876047
559	5.117053001
560	5.109234586
561	5.105947711
562	5.10236197
563	5.098804876
564	5.094539562
565	5.092276403
566	5.086484753
567	5.086258476
568	5.081474066
569	5.079410094
570	5.075742832
571	5.072047466
572	5.071012011
573	5.065097782
574	5.058885322
575	5.053697828
576	5.051279312
577	5.045438682
578	5.045222339
579	5.041901939
580	5.034673852
581	5.031478099
582	5.023568793
583	5.021992243
584	5.017534047
585	5.015752001
586	5.00939875
587	4.999795784
588	4.992783701
589	4.99017504
590	4.986650455
591	4.984567191
592	4.980334919
593	4.977683046
594	4.97068118
595	4.963980585
596	4.960801435
597	4.959080635
