iter	Passed	Remaining
0	0	839
1	1	662
2	1	591
3	2	554
4	2	528
5	3	516
6	3	511
7	4	505
8	4	496
9	5	496
10	5	495
11	6	495
12	6	499
13	7	498
14	7	500
15	8	497
16	8	496
17	9	494
18	9	493
19	9	489
20	10	484
21	10	485
22	11	483
23	11	482
24	12	484
25	12	485
26	13	483
27	13	480
28	14	480
29	14	477
30	15	475
31	15	473
32	16	472
33	16	471
34	17	470
35	17	469
36	17	466
37	18	464
38	18	463
39	19	474
40	20	473
41	20	472
42	21	473
43	21	472
44	22	470
45	22	470
46	23	468
47	23	467
48	24	465
49	24	465
50	24	464
51	25	463
52	25	462
53	26	462
54	26	460
55	27	459
56	27	458
57	28	456
58	28	454
59	28	453
60	29	452
61	29	450
62	30	449
63	30	448
64	31	448
65	31	446
66	31	445
67	32	444
68	32	444
69	33	444
70	33	443
71	34	443
72	34	442
73	35	440
74	35	439
75	36	437
76	36	436
77	36	435
78	37	435
79	37	433
80	38	432
81	38	431
82	38	430
83	39	428
84	39	428
85	40	427
86	40	427
87	41	425
88	41	425
89	41	424
90	42	423
91	42	422
92	43	421
93	43	419
94	43	418
95	44	418
96	44	417
97	45	416
98	45	415
99	46	414
100	47	418
101	47	417
102	47	417
103	48	415
104	48	414
105	49	413
106	49	413
107	49	412
108	50	411
109	50	410
110	51	409
111	51	409
112	51	407
113	52	407
114	52	406
115	53	408
116	53	407
117	54	406
118	54	406
119	55	405
120	55	404
121	56	404
122	56	403
123	57	403
124	57	402
125	57	401
126	58	400
127	58	399
128	59	399
129	59	398
130	60	398
131	60	398
132	60	397
133	61	396
134	61	396
135	62	395
136	62	394
137	63	393
138	63	393
139	63	392
140	64	391
141	64	390
142	65	390
143	65	389
144	66	389
145	66	388
146	66	387
147	67	387
148	67	387
149	68	386
150	68	386
151	69	385
152	69	385
153	70	384
154	70	384
155	70	383
156	71	383
157	71	382
158	72	381
159	72	381
160	73	381
161	73	380
162	73	379
163	74	379
164	74	379
165	75	378
166	75	378
167	76	377
168	76	377
169	77	376
170	77	375
171	78	375
172	78	375
173	78	374
174	79	373
175	79	373
176	80	372
177	80	371
178	80	371
179	81	370
180	81	370
181	82	370
182	82	369
183	83	368
184	83	368
185	84	367
186	84	367
187	85	367
188	85	367
189	86	366
190	86	366
191	86	365
192	87	364
193	87	364
194	88	363
195	88	363
196	89	363
197	89	362
198	89	362
199	90	361
200	90	361
201	91	360
202	91	359
203	92	359
204	92	358
205	92	358
206	93	358
207	93	357
208	94	357
209	94	357
210	95	356
211	95	356
212	96	356
213	96	355
214	97	355
215	97	354
216	98	354
217	98	353
218	98	352
219	99	352
220	99	351
221	100	351
222	100	350
223	101	350
224	101	349
225	101	349
226	102	348
227	102	348
228	103	347
229	103	347
230	104	346
231	104	346
232	105	345
233	105	345
234	105	345
235	106	344
236	106	343
237	107	343
238	108	343
239	108	343
240	108	342
241	109	342
242	109	341
243	110	340
244	110	340
245	110	339
246	111	339
247	111	338
248	112	338
249	112	337
250	112	337
251	113	336
252	113	336
253	114	335
254	114	335
255	115	335
256	115	334
257	116	334
258	116	334
259	117	333
260	117	333
261	118	332
262	118	332
263	118	331
264	119	331
265	119	330
266	120	330
267	120	329
268	121	329
269	121	328
270	121	328
271	122	327
272	122	327
273	123	326
274	123	326
275	124	325
276	124	325
277	125	325
278	125	324
279	126	324
280	126	323
281	126	323
282	127	322
283	127	322
284	128	321
285	128	321
286	129	321
287	129	320
288	130	320
289	130	319
290	130	318
291	131	318
292	131	317
293	132	317
294	132	316
295	133	316
296	133	315
297	133	315
298	134	314
299	134	314
300	135	313
301	135	313
302	136	312
303	136	312
304	136	311
305	137	311
306	137	311
307	138	310
308	138	310
309	139	309
310	139	309
311	139	308
312	140	308
313	140	307
314	141	307
315	141	306
316	142	306
317	142	306
318	143	305
319	143	305
320	144	304
321	144	304
322	144	303
323	145	303
324	145	302
325	146	302
326	146	301
327	147	301
328	147	301
329	148	300
330	148	300
331	148	299
332	149	299
333	149	298
334	150	298
335	150	298
336	151	297
337	151	297
338	152	296
339	152	296
340	153	295
341	153	295
342	153	294
343	154	294
344	154	293
345	155	293
346	155	292
347	156	292
348	156	292
349	157	291
350	157	291
351	157	290
352	158	290
353	158	289
354	159	289
355	159	288
356	160	288
357	160	287
358	160	287
359	161	286
360	161	286
361	162	286
362	162	285
363	163	285
364	163	285
365	164	284
366	164	284
367	165	283
368	165	283
369	166	282
370	166	282
371	167	281
372	167	281
373	168	281
374	168	280
375	168	280
376	169	279
377	169	279
378	170	278
379	170	278
380	171	277
381	171	277
382	171	276
383	172	276
384	172	275
385	173	275
386	173	274
387	173	274
388	174	273
389	174	273
390	175	273
391	175	272
392	176	272
393	176	271
394	177	271
395	177	270
396	178	270
397	178	269
398	178	269
399	179	269
400	179	268
401	180	268
402	180	267
403	181	267
404	181	266
405	182	266
406	182	265
407	182	265
408	183	265
409	184	264
410	184	264
